djentelmen	джентельмен
lvovtyq-varshavalyq	львовтық-варшавалық
chapaly	чапалы
ıaqynyǵa	иақыныға
doıyrlaý	доиырлау
jahattylyq	жаһаттылық
ahlı-l-baıt	аһли-л-байт
ýnter-ofıser	унтер-офицер
qusqana	құсхана
monýmentalısti	монументалисті
kechede	кечеде
medıa-forým	медиа-форум
máshhúrlendir	мәшһүрлендір
alıenasıa	алиенация
ahdııat	ахдйиат
k-ekspedıtorlyq	к-экспедиторлық
elementorganıkalyq	элементорганикалық
segregasıa	сегрегация
mıskıın	мискйин
nıkeldeý	никельдеу
jaýhar	жауһар
uchyrab	ұчыраб
olımpıadalyq	олимпиадалық
ahylap-úhilep	аһылап-үһілеп
áýeıilik	әуеиілік
bádhas	бәдһас
krosovordshyl	кроссовордшыл
ıntensıashyldyq	интенцияшылдық
ındýksıa	индукция
jıhazdal	жиһаздал
artezıandyq	артезиандық
ımpıchment	импичмент
monosılabızm	моносиллабизм
kasa	касса
avıatúsirý	авиатүсіру
motokros	мотокросс
kartrıji	картриджі
monarhıs	монархист
sanksıalary	санкциялары
vestıbýlárlyq	вестибулярлық
dedýksıalaý	дедукциялау
vólframdy	вольфрамды
sımvolısti	символисті
múhmen	мүһмен
chartıs	чартист
mýtahhar	мутаһһар
chalqar	чалқар
demıýrg	демиург
sýbstansıa	субстанция
rezervasıalaý	резервациялау
revanshıs	реваншист
lokasıa	локация
ınkvızısıa	инквизиция
modeldeý	модельдеу
ǵalamdsh	ғаламдьщ
ShMT	ШМТ
slesarlyq	слесарьлық
hadııa	һадийа
tenısi	теннисі
saıası-ekonomıkalyq	саяси-экономикалық
hamangah	һамангаһ
skosıa	скоция
chamaldap	чамалдап
dıapazon	диапазон
balasaý	балластау
zasedateldik	заседательдік
dárgah	дәргаһ
akvalańıs	аквалангис
eskekshi-kanoeshi	ескекші-каноэші
ıanshyldy	ианшылды
bııaban	бийабан
konsepsıa	концепция
ekspresıvtik	экспрессивтік
anal	аннал
abyrjýshylq	абыржушыльқ
mezoıondyq	мезоиондық
hıjrat	һижрат
asıstenttik	ассистенттік
tılıtter	тиллиттер
ahylaý	аһылау
AShÓHF	АШӨХФ
kasasıa	кассация
bronhıaldy	бронхиалды
medıan	медиан
prosesor	процессор
asııan	асийан
achyshdy	ачышды
búrosy	бюросы
matrıarhattyq	матриархаттық
amplıasıa	амплиация
ınflúasıa	инфлюация
redaksıalyq	редакциялық
mınonoses	миноносец
avtoslesar	автослесарь
apodeıktıka	аподеиктика
blok-sqemasy	блок-схемасы
býtılkaýchýk	бутилкаучук
ınternet-aýksıon	интернет-аукцион
ateıstiń	атеистің
ShOK	ШОК
ımpúlstik	импульстік
kapsúl	капсюль
elektrgıtar	электргитар
saqynch	сақынч
polıteızm	политеизм
elúent	элюент
metakompýlátor	метакомпулятор
okazıonalızm	окказионализм
jahatta	жаһатта
sıtoekologıa	цитоэкология
gallúsınoz	галлюциноз
adúdıkasıa	адъюдикация
konfesıalyq	конфессиялық
asfáltobeton	асфальтобетон
korporasıalyq	корпорациялық
molbert	мольберт
tırıak	тирйак
zarády	заряды
plúralızm	плюрализм
ıdealısik	идеалистік
býkınıs	букинист
eýropeoıdtyq	еуропеоидтық
stıpendıat	стипендиат
ekomaqta	экомақта
aıdahardaı	айдаһардай
gıdrosefalıa	гидроцефалия
sosıometrıaly	социометриялы
tanbıh	танбиһ
kálkala	калькала
etımolog	этимолог
sarsınalar	сарциналар
búleten	бюллетень
jentlmen	джентльмен
amálgamasıa	амальгамация
belýj	белудж
gravıtasıalyq	гравитациялық
qahqaha	қаһқаһа
dybysqana	дыбысхана
hámdám	һәмдәм
gıdroızogıps	гидроизогипс
shahname	шаһнаме
abdıkasıa	абдикация
emıtent	эмитент
notarıaldy	нотариалды
dúnıaýı	дүнияуи
ekspertıza	экспертиза
amýnısıa	амуниция
chyljyń	чылжың
polıantty	полиантты
rýberoıd	рубероид
polárlik	полярлық
paralıch	паралич
vestıbúl	вестибюль
mazhab	мазһаб
ıntegrasıalanǵan	интеграцияланған
núans	нюанс
medalıster	медалистер
ıemechúk	иемечүк
ıaqasynda	иақасында
býlın	булинь
ıatlatty	иатлатты
sýbektıvtik	субъективтік
qaharǵa	қаһарға
ate-hıdzı	атэ-хидзи
jahanam	жаһанам
amıak	аммиак
ımprovızasıasy	импровизациясы
okeanarıým	океанариум
hejerleý	хеджерлеу
ınterıorızasıa	интериоризация
geksaedr	гексаэдр
etıldi	этилді
ımperıalıstiń	империалистің
paıýan	пайуан
ıatlady	иатлады
skalpel	скальпель
álfa-ydyraý	альфа-ыдырау
chajamaı	чажамай
parsel	парцель
daqbir	дақбьір
ýtopıster	утопистер
ıapurǵan	иапұрған
konstıtýsıalyq	конституциялық
telespektakl	телеспектакль
hárnemeniń	һәрнеменің
dıskrımınasıa	дискриминация
dıaspora	диаспора
svıdser	свидцер
búkster	бюкстер
makroprosesor	макропроцессор
ıapushǵaq	иапұшғақ
chempıonaty	чемпионаты
bizqúıryq	бізқүирық
komısıasy	комиссиясы
mahatar	маһатар
premer	премьер
jaýharlyq	жауһарлық
sındıkalıstiń	синдикалистің
vermıshel	вермишель
aerotúsirim	аэротүсірім
manıkúrlen	маникюрлен
opsıondyq	опциондық
vakým-súzgish	вакуум-сүзгіш
ınkýbasıalaý	инкубациялау
bólshevık	большевик
búdjetke	бюджетке
haıýansha	хайуанша
varıaqıalaný	вариақиялану
ýtopısti	утописті
ichdiler	ічділер
volúntarıstik	волюнтаристік
korespondenttik	корреспонденттік
gogol	гоголь
jesimpaz	жецімпаз
cháýgim	чәугім
grıláj	грильяж
chıendeý	чиендеу
brıchka	бричка
pesımıs	пессимист
ızoprenoıdter	изопреноидтер
ıamlatty	иамлатты
jábiráhıl	жәбірәһил
varıasıalaý	вариациялау
shahıqat	шаһиқат
búrokrattan	бюрократтан
setandyq	цетандық
optoelektronıka	оптоэлектроника
ıashańurdy	иашаңұрды
barıkada	баррикада
elektrhımıa	электрхимия
kınobúleten	кинобюллетень
gıdroekstrýzıa	гидроэкструзия
polısıkldi	полициклді
chymǵýklandy	чымғукланды
konstrýksıalar	конструкциялар
varágtar	варягтар
charlzton	чарльзтон
seısmogram	сейсмограмма
ıntýıtıvıster	интуитивистер
qychqyrǵan	қычқырған
ınterpretasıalyq	интерпретациялық
regenerasıalyq	регенерациялық
baıarystan	байарыстан
aqıdofıldi	ақидофильді
benchmark	бенчмарк
antıaksedant	антиакседант
konsýldyq	консульдық
shýhrat	шуһрат
búldozer	бульдозер
ıatttlady	иатттлады
ınsenırovka	инсценировка
ıasyǵlyǵ	иасығлығ
dıallagıt	диаллагит
ıahshylarynyń	иахшыларының
gelvın	гельвин
motıvasıa	мотивация
qachurmaı	қачұрмай
delkredere	делькредере
gıpúr	гипюр
kardıogram	кардиограмма
okýpant	оккупант
ekopsıhologıa	экопсихология
radıan	радиан
manıfestiń	манифестің
ıorynchǵa	иорынчға
ımpúlsti	импульсті
fermentasıa	ферментация
ımanentik	имманенттік
antropososıologıa	антропосоциология
ah-úhle	аһ-үһле
gıdrosıklon	гидроциклон
kompozısıalar	композициялар
ıdealıster	идеалистер
dıksıa	дикция
etnomádenısózder	этномәденисөздер
ınterferensıalyq	интерференциялық
tralshık	тральщик
plasıd	пластид
mıeloblas	миелобласт
kúcheshdi	күчешді
preferensıaldyq	преференциалдық
jahıllik	жаһиллік
empırıomonızm	эмпириомонизм
ah-úhleý	аһ-үһлеу
ıaǵaqlyq	иағақлық
taharatsyz	таһаратсыз
abrevıatýra	аббревиатура
radıandyq	радиандық
ıapyǵlyǵ	иапығлығ
revolúsıalyq	революциялық
ıadymda	иадымда
qorityndy	қорьітынды
konsıgnasıalyq	консигнациялық
gelmıntologıalyq	гельминтологиялық
trester	трестер
mahıstiń	махистің
gologramm	голограмма
álme-hál	әлме-һәл
akarısıdter	акарицидтер
ıadymǵa	иадымға
ekstrýzıalyq	экструзиялық
fýtýrıs	футурист
ıaptdy	иаптды
kondısıa	кондиция
ýahabıst	уаһабист
ashyraq	ащырақ
antıkvarıat	антиквариат
tantema	тантьема
brandmaýer	брандмауэр
áleıhıssalam	әлейһиссалам
dachan	датчан
dıanat	дианат
últrakúlgin	ультракүлгін
chottyń	чоттың
aıaq-shanaq	айақ-шанақ
anımasıa	анимация
kabrıol	кабриоль
mazhap	мазһап
attıtúd	аттитюд
antena	антенна
dıamat	диамат
dekapıtasıa	декапитация
mehanızasıalan	механизациялан
álfa-sáýle	альфа-сәуле
karotel	каротель
mızansenalyq	мизансценалық
karbúrator	карбюратор
alergıalyq	аллергиялық
kılson	кильсон
jahanger	жаһангер
monıstik	монистік
nıgılıs	нигилист
ıýrısprýdensıa	юриспруденция
embolıa	эмболия
aplıkasıa	аппликация
shıpchandler	шипчандлер
paladı	палладий
panhan	панһан
mergel	мергель
kostúmi	костюмі
alýshi	алушьі
resıdıvıster	рецидивистер
chaq-chálekeı	чақ-чәлекей
ınkvızısıalyq	инквизициялық
estıpıte	эстипите
dekompılátor	декомпилятор
ekranda	экранда
chekildek	чекілдек
hándasa	һандаса
masqar	масхар
SShF	СШФ
sosıologıasy	социологиясы
spesıfıkalyq	спецификалық
padshahzada	падшаһзада
sosıal-shovınıst	социал-шовинист
mılıtarızasıa	милитаризация
buchaqly	бұчақлы
dıýanashylyq	диуанашылық
dezınformasıa	дезинформация
bıogeosenoz	биогеоценоз
batalóndaı	батальондай
eýrosentrıstik	еуроцентристік
melıorasıasy	мелиорациясы
ıaǵturdy	иағтұрды
aıaǵlydyn	айағлыдын
ınjeksıa	инжекция
megaterıalar	мегатериалар
anapesti	анапесті
ejdıhat	еждиһат
haıýanat	хайуанат
varıaqıalaý	вариақиялау
sıren	сирень
ıaǵyldy	иағылды
dıgıtaldy	дигитальды
ınısıatıva	инициатива
túlen	тюлень
totıaıyn	тотияйын
hachkar	хачкар
doıyrjyǵar	доиыржығар
asfáltıt	асфальтит
ıaqasyndyn	иақасындын
vúrsbýrlyq	вюрцбурлық
haýale	һауале
totıaıyndaı	тотияйындай
dıagram	диаграмма
ıaltǵa	иалтға
ıhtımaa	иһтимаа
estetıkasy	эстетикасы
entomologıa	энтомология
ateıstik	атеистік
kalendar	календарь
ekonomıkalyq	экономикалық
ıadygarlik	йадыгарлік
ımperıalıstik	империалистік
fortepáno	фортепьяно
federasıa	федерация
leksıa	лекция
energetıkalyq	энергетикалық
ancha-muncha	анча-мұнча
elektrtermıalyq	электртермиялық
oftálmoskopıa	офтальмоскопия
aýdıensıa	аудиенция
ınterınternasıonalıster	интернационалистер
ahylatý	аһылату
antıbakterıaldyq	антибактериалдық
epıtaksıa	эпитаксия
ftızıatrıa	фтизиатрия
k-jıhaz	к-жиһаз
monastyrlyq	монастырьлық
gramatıka	грамматика
býmerań	бумеранг
ventılásıa	вентиляция
cháıqap	чәйқап
týfelka	туфелька
kvadrýpol	квадруполь
hárqaısy	һәрқайсы
valmaly	вальмалы
ımpotensıa	импотенция
masıýat	масиуат
tanýın	тәнуин
mollúska	моллюска
ıaǵlady	иағлады
ıadzsady	иадзсады
ekspressıasy	экспрессиясы
bakterıan	бактериан
ıstlah	истлаһ
otrády	отряды
dıastola	диастола
dýalıstik	дуалистік
kompres	компресс
jaýharlan	жауһарлан
ıamaǵu	иамағұ
kompúterbas	компьютербас
alotropıa	аллотропия
modernısti	модернисті
ırradıasıa	иррадиация
abstraksıonızm	абстракционизм
argılıt	аргиллит
arabısti	арабисті
aldyrma	ьалдырма
bıasyl	биасыл
romanıs	романист
jaıalns	жаяльнс
streptokok	стрептококк
lısenzıa	лицензия
bıchare	бичаре
qoǵamdyq-etnıkalyq	қоғамдық-этникалық
farmasıa	фармация
ınstıtýsıalyq	институциялық
fakúltatıv	факультатив
retrospeksıaly	ретроспекциялы
chodzyn	чодзын
sýbektisi	субъектісі
bezeshka	бэзешка
enzımologıa	энзимология
ıýǵrýshdy	иуғрушды
qıamet-qıyndyq	қиамет-қиындық
urdyqchy	ұрдықчы
baktrıan	бактриан
dýplıkasıa	дупликация
broshúrala	брошюрала
replıkasıa	репликация
qıýazyn	қиуазын
shaıhyıslam	шайхыислам
konfıgýrasıa	конфигурация
obektilik-baǵdarlanǵan	объектілік-бағдарланған
sımvolıstiń	символистің
fıksıń	фиксинг
kapsúldik	капсюльдік
dıagnoz	диагноз
ımınoefırler	иминоэфирлер
mahalǵacha	махалғача
revolúsıashyldyq	революцияшылдық
mýsondy	муссонды
chyǵanaq	чығанақ
jaýharlaný	жауһарлану
qıýasyz	қиуасыз
mamlúk	мамлюк
vıbrasıa	вибрация
mádenıaralyq	мәдениаралық
konstrýksıalardy	конструкцияларды
alıterasıa	аллитерация
eksedent-	эксцедент-
keıfıat	кейфиат
flúorografıa	флюорография
elegıa	элегия
elektrolıtshi	электролитші
seksıa	секция
kartezıandyq	картезиандық
retıkýlárlyq	ретикулярлық
vegeterıanshylyq	вегетерианшылық
nýkleın	нуклеин
ablásıa	абляция
kóteriski	көтеріцкі
razezd	разъезд
ımýndyq	иммундық
bıdahat	бидаһат
birtúıir	біртүиір
latıfýndıs	латифундист
ıashady	иашады
telekomýnıkasıalar	телекоммуникациялар
forposty	форпосты
taraýiq	тарауьіқ
súlfaty	сульфаты
áleýmettik-ekonomıkalyq	әлеуметтік-экономикалық
álhamdýllılahı	әлхамдуллилаһи
qylychdyn	қылычдын
kapıtýlásıa	капитуляция
elchilesý	елчілесу
AShTÓ	АШТӨ
falsıfıkasıa	фальсификация
ınternasıonaldyq	интернационалдық
snarádtyń	снарядтың
veksel	вексель
deklarasıalaýdyń	декларациялаудың
avıaapparat	авиааппарат
ysgaıly	ыцгайлы
monoklınal	моноклиналь
áýekasa	әуекасса
oklúzıa	окклюзия
sechishdi	сечішді
qasaıat	қасайат
tonzılıt	тонзиллит
ıntellıgensıasy	интеллигенциясы
máshhúrlendirý	мәшһүрлендіру
mıchman	мичман
razrádtary	разрядтары
akseptik	акцептік
eksperıment	эксперимент
jıhazda	жиһазда
aksıonerlik	акционерлік
dýbláj	дубляж
akvarıým	аквариум
akasıa	акация
tapchurdym	тапчұрдым
dýalıs	дуалист
rekonstrýksıalan	реконструкциялан
padshahsyz	падшаһсыз
beınahaıa	бейнаһая
dedýksıalyq	дедукциялық
esseshi	эссеші
dıastaz	диастаз
losos	лосось
alvanıt	альванит
sosıým	социум
bekdor	бэкдор
komentarı	комментарий
nıkel	никель
revızıonıstiń	ревизионистің
ekrandyq	экрандық
tokarlyq	токарьлық
bolshak	большак
maqataǵıat	мақатағиат
dezınfeksıalaǵysh	дезинфекциялағыш
beletaj	бельэтаж
salmonellez	сальмонеллез
jahandasý	жаһандасу
atrıým	атриум
termoelektrondyq	термоэлектрондық
ıamanyraq	иаманырақ
sterlıń	стерлинг
chınovnıktik	чиновниктік
eho-fraza	эхо-фраза
redaksıalaý	редакциялау
ıntegrasıalaný	интеграциялану
áshekeılený	әшекеилену
gıdroavıasıa	гидроавиация
ımýnıtet	иммунитет
yhtıarly	ыхтиарлы
valútırleý	валютирлеу
ılmenıt	ильменит
ıańalduruq	иаңалдұрұқ
monopolısti	монополисті
skerso	скерцо
grama	грамма
ametıs	аметист
konferensıa	конференция
redaksıalan	редакциялан
lútnıa	лютня
alergıa	аллергия
idyrys	ьідырыс
qyblagóh	қыблагөһ
muchtymdaı	мұчтымдай
velvetka	вельветка
ınfıltrasıa	инфильтрация
baptısti	баптисті
solıster	солистер
nasıonalızasıalan	национализациялан
kvarstan	кварцтан
rasıonalızator	рационализатор
fantastyń	фантастың
mashaıq	машайьқ
spınıń	спиннинг
alúmınotermıa	алюминотермия
tapancha	тапанча
mıkroelektronıka	микроэлектроника
grosmeıster	гроссмейстер
rekvızısıala	реквизицияла
akordeonshy	аккордеоншы
vakýmólsheýish	вакуумөлшеуіш
hamrah	һамраһ
kavalerıs	кавалерист
gastrýlásıalaný	гаструляциялану
mebelshi	мебельші
HAShDQ	ХАШДҚ
ınventarızasıalyq	инвентаризациялық
zııadaraq	зийадарақ
gafeldi	гафельді
agnostısızm	агностицизм
averroızm	аверроизм
devıasıa	девиация
mındal	миндаль
endokrındi	эндокринді
etıologıa	этиология
semánka	цемянка
progresıa	прогрессия
barǵach	баргач
faktorıń	факторинг
antosıan	антоциан
ırızasıa	иризация
týrıserd	туристерд
ınterpretasıalan	интерпретациялан
qaharmandyq	қаһармандық
kechishti	кечішті
qunchuı	құнчұй
ambısıa	амбиция
stenografısti	стенографисті
jýrnalıserdiń	журналистердің
ıadzty	иадзты
nýnsıı	нунций
monoteıster	монотеистер
sosıal-demokratızm	социал-демократизм
pezogıpster	пьезогипстер
jeltis	желтьіс
sentımentalıs	сентименталист
saltasıa	сальтация
jıhazdary	жиһаздары
ıdıoadaptasıa	идиоадаптация
ıildený	йілдену
ınterpretasıa	интерпретация
marksıs	марксист
amortızasıalyq	амортизациялық
qumalhaq	құмалһақ
jýrnalıstıka	журналистика
kanıfol	канифоль
ýjýdııat	ужудийат
konfıskasıala	конфискацияла
koeffıqıenti	коэффиқиенті
eńechesi	еңечесі
ShQO	ШҚО
roıál	рояль
oblıgasıa	облигация
modáldylyq	модальдылық
prosesiniń	процесінің
efferenttik	эфференттік
makroenergıalyq	макроэнергиялық
formasıalar	формациялар
ábilhaıat	әбілһаят
ındýlgensıa	индульгенция
ımpúlsıvtilik	импульсивтілік
álhamdýlıláhı	әлхамдулиләһи
ránchın	рәнчин
antıkomýnıstik	антикоммунистік
qabýldargah	қабулдаргаһ
dvorán	дворян
medıasarapshy	медиасарапшы
mıkrokalkýlátor	микрокалькулятор
adenoıd	аденоид
ınfıltrasıalyq	инфильтрациялық
annýlásıalyq	аннуляциялық
prolongasıa	пролонгация
maǵarli	мағарльі
ál-ýıda	әл-уида
dıffamasıa	диффамация
madársha	мадьярша
anotasıa	аннотация
sken-kod	скэн-код
úndeýchisi	үндеучісі
kompozısıa	композиция
agresıa	агрессия
rezervıs	резервист
portlandsement	портландцемент
chaqtysy	чақтысы
berılıli	бериллийлі
lema	лемма
spırál	спираль
sarcháı	сарчәй
monovaksına	моновакцина
kazeın	казеин
gıbrıdızasıa	гибридизация
leıkosıtter	лейкоциттер
ınvensıa	инвенция
aerofototopografıa	аэрофототопография
bahshat	баһшат
modernıster	модернистер
hámmat	һаммат
radıster	радистер
mılgı	мильги
ıngalásıalyq	ингаляциялық
komýnar	коммунар
birnechesi	бірнечесі
aıdaharsyzdyq	айдаһарсыздық
ınflásıany	инфляцияны
leksıalyq	лекциялық
dıfferensıaldyq	дифференциалдық
varıasıalyq	вариациялық
ıetmegúnche	иетмегүнче
benefısıar	бенефициар
ımplantasıa	имплантация
qossylas	қоцсылас
makrosıkl	макроцикл
plagıat	плагиат
komersıa	коммерция
akýmýlátorly	аккумуляторлы
ıunchyrdy	иұнчырды
ıanudy	ианұды
anarhıs	анархист
óleń-ocherk	өлең-очерк
alúmınat	алюминат
rekonstrýksıalaný	реконструкциялану
gallúsınogen	галлюциноген
asplený	ацплену
epıstemıologıa	эпистемиология
háreket	һәрекет
proporsıonaldy	пропорционалды
moráktaıyn	моряктайын
tahrat	таһрат
obstrýksıonıstiń	обструкционистің
metalýrgıa	металлургия
sensıbılızasıa	сенсибилизация
popýlıstiń	популистің
jıhazdaý	жиһаздау
dokýmentaldy	документальды
astroıda	астроида
fantastar	фантастар
chatlan	чатлан
kýmýlásıa	кумуляция
chaljıma	чалжима
kartel	картель
tachanka	тачанка
polár	поляр
trıazın	триазин
postındýstrıaldyq	постиндустриалдық
beınesújet	бейнесюжет
ınvalúta	инвалюта
kúllıat	күллиат
máslahatgóı	мәслаһатгөй
garmonda	гармоньда
lıngvıstıka	лингвистика
komýnızm	коммунизм
kalsefobtar	кальцефобтар
deflásıalyq	дефляциялық
beıýaıymdyq	бейуайымдық
flań	фланг
kúlúnch	күлүнч
chartısti	чартисті
aqejamshy	ақэжамшы
galvanoplastıka	гальванопластика
bılıverdın	билливердин
ekspress-júkter	экспресс-жүктер
prosesi	процесі
evakýasıalyq	эвакуациялық
ábúıir	әбүиір
aksessorlyq	акцессорлық
AHShI	АХШИ
rúbl	рубль
ınventar	инвентарь
reformasıa	реформация
glokolızasıa	глоколизация
kalsefılder	кальцефилдер
aıylchy	айылчы
neızılber	нейзильбер
vınetka	виньетка
ortopsıhıatrıa	ортопсихиатрия
artel	артель
ekologıalyq	экологиялық
elchileshib	елчілешіб
okýpasıalyq	оккупациялық
sıklogrammasy	циклограммасы
ıalafar	иалафар
as-sýhravardııa	ас-сухравардийа
IASJTKU	ЯСЖТКҰ
metal	металл
solısti	солисті
beıchora	бейчора
ıntaha	интаһа
sımvolıstik	символистік
janýshi	жануьші
jáıýat	жайуат
mıkrosıkl	микроцикл
uchlary	ұчлары
obektıv	объектив
akseptileý	акцептілеу
opozısıalyq	оппозициялық
tán-shan	тянь-шань
revolverli	револьверлі
galvanoskop	гальваноскоп
medısına-sy	медицина-сы
agglútınatıv	агглютинатив
volúntarızm	волюнтаризм
defınısıa	дефиниция
ıhanat	иһанат
jatimsyz	жатьімсыз
brakonerlik	браконьерлік
varene	варенье
mehirban	меһирбан
dotasıa	дотация
abrogasıa	аброгация
týnelshe	туннельше
jámharly	жәмһарлы
glásıodıslokasıa	гляциодислокация
geraldıka	геральдика
ınsınýasıa	инсинуация
hronogram	хронограмма
mýltıpleksteý	мультиплекстеу
ıazyǵshy	иазығшы
elegıster	элегистер
balıstokardıografıa	баллистокардиография
melıorasıala	мелиорацияла
beıamal	бейамал
aıdaharly	айдаһарлы
múdseli	мүдцелі
vıse-admıral	вице-адмирал
parfúmer	парфюмер
ıaqurdy	иақұрды
sıtadel	цитадель
materıalyn	материалын
konstrýksıasy	конструкциясы
ıýzı-raýshan	иузи-раушан
batalóndyq	батальондық
nıkelde	никельде
elektroterapıa	электротерапия
elementteri	элементтері
pýblısıstıka	публицистика
modelershi	модельерші
vólfram	вольфрам
dabylúı	дабылүи
gılza	гильза
ıanvar	январь
karbúrızator	карбюризатор
dezınfeksıalaý	дезинфекциялау
rabaıat	рабайат
desıgram	дециграмм
armán	армян
aıýansha	айуанша
mektep-lıseı	мектеп-лицей
áıdemde	әидемде
eksklúzıvti	эксклюзивті
ábjaýhan	әбжауһан
balony	баллоны
snarád-ushaq	снаряд-ұшақ
kildy	кьілды
hárhıd	һәрхид
asıdafıl	ацидафиль
mýjahıda	мужаһида
aıaıarsgú	айайарсгү
avtogravúra	автогравюра
blastosısta	бластоциста
retrosessıa	ретроцессия
antıpasat	антипассат
aktıvıs	активист
obektıvızm	обьективизм
áchimá-túshi	әтчімә-түщі
gırka	гирька
konfesıa	конфессия
aerosýret	аэросурет
okýlısti	окулисті
donorlyq-akseptorlyq	донорлық-акцепторлық
trepel	трепель
ındýzıým	индузиум
falakachılık	фалакатчилик
gýmanıster	гуманистер
dısertasıa	диссертация
nekahyǵa	некаһыға
bazaltti	базальтті
záreche	зәрече
defolıasıalaý	дефолиациялау
monýmentalıs	монументалист
áhánát	әһәнәт
barbekú	барбекю
ınklúzıvti	инклюзивті
qyıaǵy	қыйағы
prezýmpsıa	презумпция
gıdroslúdalar	гидрослюдалар
tábıat	тәбиат
egosentrızm	эгоцентризм
brakoner	браконьер
ashaǵar	ащағар
sımvolıs	символист
monopolıster	монополистер
beıýada	бейуада
presıń	прессинг
qaıyrymdilyq	қайырымдьілық
zodıakaldyq	зодиакалдық
ırasıonaldyq	иррационалдық
glásıologıa	гляциология
galvanomagnıttik	гальваномагниттік
ızolásıa	изоляция
fın	финн
okýlıs	окулист
modáldyq	модальдық
ekilenchi	екіленчі
lohan	лохань
mıýalaný	миуалану
ál-fatımııýn	әл-фатимийун
dıskrımınasıalaý	дискриминациялау
ıntellıgensıa	интеллигенция
salámı	салями
telnájka	телняжка
vodevıl	водевиль
uchasyn	ұчасын
chiláýjin	чіләужін
normal	нормаль
alúmınıleý	алюминийлеу
eksterer	экстерьер
vezývıan	везувиан
amebıaz	амебиаз
rýhban	руһбан
estafeta	эстафета
tólólikchi	төлөлікчі
razrádteýish	разрядтауыш
bólshevıktený	большевиктену
mıstısızm	мистицизм
ıapmasdyn	иапмасдын
dıqhan	диқһан
býnıan	бунйан
ızotermıalyqprosess	изотермиялықпроцесс
barahın	бараһин
bıatlon	биатлон
chartıstiń	чартистің
melıorasıany	мелиорацияны
kandıl	кандиль
transmısıalyq	трансмиссиялық
ócheshdi	өчешді
vakýmdi	вакуумді
chańylady	чаңылады
ıamanny	иаманны
argýmentasıa	аргументация
myshák	мышьяк
lıngvıster	лингвистер
toıaǵa	тойаға
ál-batınııa	әл-батинийа
dekompozısıa	декомпозиция
birmoıyn	бірмоиын
solo-veksel	соло-вексель
komýnıkasıanyń	коммуникацияның
plasık	пластик
tushshyraq	тұщырақ
restavrasıalaý	реставрациялау
akvalańyshy	аквалангышы
baryqsiz	барықсьіз
konúnktýra	конъюнктура
ınflúentter	инфлюенттер
kolej	колледж
kichidi	кічіді
stıldendirilgen	стильдендірілген
redýksıalaný	редукциялану
mıýadaı	миуадай
elúvı	элювий
operasıonaldy	операционалды
baptıstik	баптистік
aqyrpidaý	ақырьпідау
ıastady	иастады
sýphıl	супхиль
defısıti	дефициті
genosıd	геноцид
ıaryshdy	иарышды
hejıng	хеджинг
oktábir	октябір
shahzat	шәһзат
keıýanalyq	кейуаналық
ashysyra	ащысыра
zııada	зийада
bıogeosenozdyq	биогеоценоздық
zarádtalý	зарядталу
delfın	дельфин
gýmrah	гумраһ
áıdiktený	әидіктену
gımnazıster	гимназистер
jdahattan	ждаһаттан
shahanshah	шаһаншаһ
koordınasıa	координация
alhamdýlı-l-lahı	алхамдули-л-лаһи
ıavlaq	иавлақ
selýloıd	целлулоид
prýdensıaldyq	пруденциалдық
qaharat	қаһарат
aparattyq	аппараттық
ıarsǵaǵ	иарсғағ
polústeri	полюстері
tahııat	тахийат
ekvılıbrıstıka	эквилибристика
otomanızm	оттоманизм
álmanah	альманах
rasıonaldaý	рационалдау
múltımıllıoner	мультимиллионер
bronhoektazıa	бронхоэктазия
barıster	барристер
ákireı	әкіреи
ıamaǵlyq	иамағлық
aerostaty	аэростаты
ınterpolásıalan	интерполяциялан
mertel	мертель
avıaposhta	авиапошта
alpınıada	альпиниада
ıabyndy	иабынды
konstatasıalaý	констатациялау
álbınızm	альбинизм
turmysqana	тұрмысхана
ýtopıstiń	утопистің
iılahı	ійлаһи
iqylas	ьіқылас
stılıstiń	стилистің
kórshi-qolas	көрші-қолац
charh-ý	чарх-у
kazýıstıka	казуистика
desıkasıalaý	десикациялау
dezınfeksıa	дезинфекция
tranzaksıa	транзакция
ekzobıologıa	экзобиология
ıarashdy	иарашды
telefılm	телефильм
rambýle	рамбулье
ashshylyq	ащылық
pasıvtik	пассивтік
anterıným	антерринум
ındýksıalan	индукциялан
metızasıa	метизация
reformıster	реформистер
vetfeldsher	ветфельдшер
bızan-dińgek	бизань-діңгек
sısternalar	цистерналар
kanserogendik	канцерогендік
oportýnızm	оппортунизм
mehrıban	меһрибан
fonar	фонарь
jýrnalıstiń	журналистің
mashhýr	машһур
bıapar	биапар
monıtorıńi	мониторингі
brekchıalar	брекчиялар
ıazlatty	иазлатты
vıolonchelıs	виолончелист
jaqyńdaýshyliq	жақыңдаушыльіқ
ınterer	интерьер
búdjetaralyq	бюджетаралық
gramofonsha	граммофонша
dıammofos	диаммофос
býlba	бульба
slótshilep	слётшілеп
raǵıat	рағиат
ıanyndaǵy	ианындағы
kálsılep	кальцийлеп
artezıan	артезиан
kasır	кассир
okýpasıalaýshy	оккупациялаушы
dzúdoshy	дзюдошы
alkogól	алкоголь
azyn-choǵyn	азын-чоғын
modernızasıa	модернизация
dıalekt	диалект
bıoetıkalyq	биоэтикалық
